flight,fault_type,precision,recall,f1,TP,TN,FP,FN
carbonZ_2018-07-18-12-10-11_no_ground_truth,Unknown_Fault,1.0,0.23107569721115537,0.37540453074433655,58,0,0,193
carbonZ_2018-07-18-15-53-31_1_engine_failure,Engine_Failure,1.0,0.1258741258741259,0.22360248447204972,18,0,0,125
carbonZ_2018-07-18-15-53-31_2_engine_failure,Engine_Failure,1.0,0.05982905982905983,0.11290322580645161,7,0,0,110
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,Engine_Failure,1.0,0.1484375,0.2585034013605442,19,0,0,109
carbonZ_2018-07-18-16-37-39_2_engine_failure_with_emr_traj,Engine_Failure,1.0,0.1487603305785124,0.2589928057553957,18,0,0,103
carbonZ_2018-07-30-16-29-45_engine_failure_with_emr_traj,Engine_Failure,1.0,0.07017543859649122,0.13114754098360656,12,0,0,159
carbonZ_2018-07-30-16-39-00_1_engine_failure,Engine_Failure,1.0,0.07236842105263158,0.13496932515337423,11,0,0,141
carbonZ_2018-07-30-16-39-00_2_engine_failure,Engine_Failure,1.0,0.14728682170542637,0.25675675675675674,19,0,0,110
carbonZ_2018-07-30-17-10-45_engine_failure_with_emr_traj,Engine_Failure,1.0,0.07692307692307693,0.14285714285714288,11,0,0,132
carbonZ_2018-07-30-17-20-01_engine_failure_with_emr_traj,Engine_Failure,1.0,0.0975609756097561,0.17777777777777776,12,0,0,111
carbonZ_2018-07-30-17-36-35_engine_failure_with_emr_traj,Engine_Failure,1.0,0.1554054054054054,0.26900584795321636,23,0,0,125
carbonZ_2018-07-30-17-46-31_engine_failure_with_emr_traj,Engine_Failure,1.0,0.14634146341463414,0.2553191489361702,18,0,0,105
carbonZ_2018-09-11-11-56-30_engine_failure,Engine_Failure,1.0,0.16296296296296298,0.2802547770700637,22,0,0,113
carbonZ_2018-09-11-14-22-07_1_engine_failure,Engine_Failure,1.0,0.04504504504504504,0.08620689655172413,5,0,0,106
carbonZ_2018-09-11-14-22-07_2_engine_failure,Engine_Failure,1.0,0.18666666666666668,0.3146067415730337,14,0,0,61
carbonZ_2018-10-05-15-52-12_3_engine_failure_with_emr_traj,Engine_Failure,1.0,0.3146067415730337,0.47863247863247865,28,0,0,61
carbonZ_2018-10-05-15-55-10_engine_failure_with_emr_traj,Engine_Failure,1.0,0.14583333333333334,0.2545454545454546,21,0,0,123
carbonZ_2018-10-05-16-04-46_engine_failure_with_emr_traj,Engine_Failure,1.0,0.08653846153846154,0.1592920353982301,9,0,0,95
carbonZ_2018-10-18-11-03-57_engine_failure_with_emr_traj,Engine_Failure,1.0,0.07971014492753623,0.1476510067114094,11,0,0,127
carbonZ_2018-10-18-11-04-00_engine_failure_with_emr_traj,Engine_Failure,1.0,0.10273972602739725,0.18633540372670807,15,0,0,131
carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj,Engine_Failure,1.0,0.2013888888888889,0.3352601156069364,29,0,0,115
carbonZ_2018-10-18-11-04-08_2_engine_failure_with_emr_traj,Engine_Failure,1.0,0.05555555555555555,0.10526315789473684,7,0,0,119
carbonZ_2018-10-18-11-04-35_engine_failure_with_emr_traj,Engine_Failure,1.0,0.10084033613445378,0.183206106870229,12,0,0,107
carbonZ_2018-10-18-11-06-06_engine_failure_with_emr_traj,Engine_Failure,1.0,0.16783216783216784,0.2874251497005988,24,0,0,119
carbonZ_2018-07-18-16-37-39_1_no_failure,Normal,0.0,0.0,0.0,0,30,1,0
carbonZ_2018-07-30-16-39-00_3_no_failure,Normal,0.0,0.0,0.0,0,57,14,0
carbonZ_2018-09-11-14-16-55_no_failure,Normal,0.0,0.0,0.0,0,39,1,0
carbonZ_2018-09-11-14-41-38_no_failure,Normal,0.0,0.0,0.0,0,49,0,0
carbonZ_2018-09-11-15-05-11_2_no_failure,Normal,0.0,0.0,0.0,0,77,3,0
carbonZ_2018-10-05-14-34-20_1_no_failure,Normal,0.0,0.0,0.0,0,79,1,0
carbonZ_2018-10-05-14-37-22_1_no_failure,Normal,0.0,0.0,0.0,0,69,15,0
carbonZ_2018-10-05-15-52-12_1_no_failure,Normal,0.0,0.0,0.0,0,97,18,0
carbonZ_2018-10-05-15-52-12_2_no_failure,Normal,0.0,0.0,0.0,0,43,6,0
carbonZ_2018-10-18-11-08-24_no_failure,Normal,0.0,0.0,0.0,0,27,4,0
carbonZ_2018-09-11-14-41-51_elevator_failure,Elevator_Stuck,1.0,0.10526315789473684,0.1904761904761905,16,0,0,136
carbonZ_2018-09-11-15-05-11_1_elevator_failure,Elevator_Stuck,1.0,0.08695652173913043,0.16,8,0,0,84
carbonZ_2018-09-11-14-52-54_left_aileron__right_aileron__failure,Aileron_Stuck,1.0,0.02127659574468085,0.04166666666666667,5,0,0,230
carbonZ_2018-09-11-17-27-13_1_rudder_zero__left_aileron_failure,Aileron_Stuck,1.0,0.04375,0.08383233532934131,7,0,0,153
carbonZ_2018-09-11-17-27-13_2_both_ailerons_failure,Aileron_Stuck,1.0,0.13274336283185842,0.23437500000000003,15,0,0,98
carbonZ_2018-09-11-17-55-30_1_right_aileron_failure,Aileron_Stuck,1.0,0.1,0.18181818181818182,16,0,0,144
carbonZ_2018-09-11-17-55-30_2_left_aileron_failure,Aileron_Stuck,1.0,0.13513513513513514,0.2380952380952381,10,0,0,64
carbonZ_2018-10-05-14-34-20_2_right_aileron_failure_with_emr_traj,Aileron_Stuck,1.0,0.18716577540106952,0.3153153153153153,35,0,0,152
carbonZ_2018-10-05-14-37-22_2_right_aileron_failure,Aileron_Stuck,1.0,0.09523809523809523,0.17391304347826084,16,0,0,152
carbonZ_2018-10-05-14-37-22_3_left_aileron_failure,Aileron_Stuck,1.0,0.15384615384615385,0.2666666666666667,18,0,0,99
carbonZ_2018-09-11-15-06-34_1_rudder_right_failure,Rudder_Stuck,1.0,0.1125,0.20224719101123595,9,0,0,71
carbonZ_2018-09-11-15-06-34_2_rudder_right_failure,Rudder_Stuck,1.0,0.25,0.4,19,0,0,57
carbonZ_2018-09-11-15-06-34_3_rudder_left_failure,Rudder_Stuck,1.0,0.10465116279069768,0.18947368421052632,9,0,0,77
