flight,fault_type,accuracy,precision,recall,f1,fpr,tpr,specificity,balanced_accuracy,TP,TN,FP,FN,mean_detection_delay,median_detection_delay,roc_auc,pr_auc,mean_inference_time,std_inference_time
carbonZ_2018-07-18-12-10-11_no_ground_truth,Unknown_Fault,0.82,1.0,0.82,0.9010989010989011,0.0,0.82,1.0,0.9099999999999999,205,0,0,45,1.0381982326507568,1.0381982326507568,0.0,0.998,,
carbonZ_2018-07-18-15-53-31_1_engine_failure,Engine_Failure,0.6197183098591549,1.0,0.6197183098591549,0.7652173913043477,0.0,0.6197183098591549,1.0,0.8098591549295775,88,0,0,54,0.0,0.0,0.0,0.9964788732394367,,
carbonZ_2018-07-18-15-53-31_2_engine_failure,Engine_Failure,0.5603448275862069,1.0,0.5603448275862069,0.718232044198895,0.0,0.5603448275862069,1.0,0.7801724137931034,65,0,0,51,0.0,0.0,0.0,0.9956896551724138,,
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,Engine_Failure,0.6929133858267716,1.0,0.6929133858267716,0.8186046511627907,0.0,0.6929133858267716,1.0,0.8464566929133859,88,0,0,39,1.1960442066192627,1.1960442066192627,0.0,0.9960629921259843,,
carbonZ_2018-07-18-16-37-39_2_engine_failure_with_emr_traj,Engine_Failure,0.625,1.0,0.625,0.7692307692307693,0.0,0.625,1.0,0.8125,75,0,0,45,0.0,0.0,0.0,0.9958333333333333,,
carbonZ_2018-07-30-16-29-45_engine_failure_with_emr_traj,Engine_Failure,0.4647058823529412,1.0,0.4647058823529412,0.6345381526104418,0.0,0.4647058823529412,1.0,0.7323529411764707,79,0,0,91,2.6300442218780518,2.6300442218780518,0.0,0.9970588235294118,,
carbonZ_2018-07-30-16-39-00_1_engine_failure,Engine_Failure,0.4966887417218543,1.0,0.4966887417218543,0.663716814159292,0.0,0.4966887417218543,1.0,0.7483443708609272,75,0,0,76,3.0991671085357666,3.0991671085357666,0.0,0.9966887417218543,,
carbonZ_2018-07-30-16-39-00_2_engine_failure,Engine_Failure,0.4765625,1.0,0.4765625,0.6455026455026455,0.0,0.4765625,1.0,0.73828125,61,0,0,67,0.0,0.0,0.0,0.99609375,,
carbonZ_2018-07-30-17-10-45_engine_failure_with_emr_traj,Engine_Failure,0.528169014084507,1.0,0.528169014084507,0.6912442396313364,0.0,0.528169014084507,1.0,0.7640845070422535,75,0,0,67,0.0,0.0,0.0,0.9964788732394367,,
carbonZ_2018-07-30-17-20-01_engine_failure_with_emr_traj,Engine_Failure,0.639344262295082,1.0,0.639344262295082,0.78,0.0,0.639344262295082,1.0,0.819672131147541,78,0,0,44,2.1867547035217285,2.1867547035217285,0.0,0.9959016393442623,,
