flight,fault_type,precision,recall,f1,TP,TN,FP,FN
carbonZ_2018-07-18-12-10-11_no_ground_truth,Unknown_Fault,1.0,1.0,1.0,251,0,0,0
carbonZ_2018-07-18-15-53-31_1_engine_failure,Engine_Failure,1.0,1.0,1.0,143,0,0,0
carbonZ_2018-07-18-15-53-31_2_engine_failure,Engine_Failure,1.0,1.0,1.0,117,0,0,0
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,Engine_Failure,1.0,1.0,1.0,128,0,0,0
carbonZ_2018-07-18-16-37-39_2_engine_failure_with_emr_traj,Engine_Failure,1.0,1.0,1.0,121,0,0,0
carbonZ_2018-07-30-16-29-45_engine_failure_with_emr_traj,Engine_Failure,1.0,1.0,1.0,171,0,0,0
carbonZ_2018-07-30-16-39-00_1_engine_failure,Engine_Failure,1.0,1.0,1.0,152,0,0,0
carbonZ_2018-07-30-16-39-00_2_engine_failure,Engine_Failure,1.0,1.0,1.0,129,0,0,0
carbonZ_2018-07-30-17-10-45_engine_failure_with_emr_traj,Engine_Failure,1.0,1.0,1.0,143,0,0,0
carbonZ_2018-07-30-17-20-01_engine_failure_with_emr_traj,Engine_Failure,1.0,1.0,1.0,123,0,0,0
carbonZ_2018-07-30-17-36-35_engine_failure_with_emr_traj,Engine_Failure,1.0,1.0,1.0,148,0,0,0
carbonZ_2018-07-30-17-46-31_engine_failure_with_emr_traj,Engine_Failure,1.0,1.0,1.0,123,0,0,0
carbonZ_2018-09-11-11-56-30_engine_failure,Engine_Failure,1.0,1.0,1.0,135,0,0,0
carbonZ_2018-09-11-14-22-07_1_engine_failure,Engine_Failure,1.0,1.0,1.0,111,0,0,0
carbonZ_2018-09-11-14-22-07_2_engine_failure,Engine_Failure,1.0,1.0,1.0,75,0,0,0
carbonZ_2018-10-05-15-52-12_3_engine_failure_with_emr_traj,Engine_Failure,1.0,1.0,1.0,89,0,0,0
carbonZ_2018-10-05-15-55-10_engine_failure_with_emr_traj,Engine_Failure,1.0,1.0,1.0,144,0,0,0
carbonZ_2018-10-05-16-04-46_engine_failure_with_emr_traj,Engine_Failure,1.0,1.0,1.0,104,0,0,0
carbonZ_2018-10-18-11-03-57_engine_failure_with_emr_traj,Engine_Failure,1.0,1.0,1.0,138,0,0,0
carbonZ_2018-10-18-11-04-00_engine_failure_with_emr_traj,Engine_Failure,1.0,1.0,1.0,146,0,0,0
carbonZ_2018-10-18-11-04-08_1_engine_failure_with_emr_traj,Engine_Failure,1.0,1.0,1.0,144,0,0,0
carbonZ_2018-10-18-11-04-08_2_engine_failure_with_emr_traj,Engine_Failure,1.0,1.0,1.0,126,0,0,0
carbonZ_2018-10-18-11-04-35_engine_failure_with_emr_traj,Engine_Failure,1.0,1.0,1.0,119,0,0,0
carbonZ_2018-10-18-11-06-06_engine_failure_with_emr_traj,Engine_Failure,1.0,1.0,1.0,143,0,0,0
carbonZ_2018-07-18-16-37-39_1_no_failure,Normal,0.0,0.0,0.0,0,8,23,0
carbonZ_2018-07-30-16-39-00_3_no_failure,Normal,0.0,0.0,0.0,0,31,40,0
carbonZ_2018-09-11-14-16-55_no_failure,Normal,0.0,0.0,0.0,0,16,24,0
carbonZ_2018-09-11-14-41-38_no_failure,Normal,0.0,0.0,0.0,0,22,27,0
carbonZ_2018-09-11-15-05-11_2_no_failure,Normal,0.0,0.0,0.0,0,23,57,0
carbonZ_2018-10-05-14-34-20_1_no_failure,Normal,0.0,0.0,0.0,0,23,57,0
carbonZ_2018-10-05-14-37-22_1_no_failure,Normal,0.0,0.0,0.0,0,42,42,0
carbonZ_2018-10-05-15-52-12_1_no_failure,Normal,0.0,0.0,0.0,0,41,74,0
carbonZ_2018-10-05-15-52-12_2_no_failure,Normal,0.0,0.0,0.0,0,23,26,0
carbonZ_2018-10-18-11-08-24_no_failure,Normal,0.0,0.0,0.0,0,5,26,0
carbonZ_2018-09-11-14-41-51_elevator_failure,Elevator_Stuck,1.0,1.0,1.0,152,0,0,0
carbonZ_2018-09-11-15-05-11_1_elevator_failure,Elevator_Stuck,1.0,1.0,1.0,92,0,0,0
carbonZ_2018-09-11-14-52-54_left_aileron__right_aileron__failure,Aileron_Stuck,1.0,1.0,1.0,235,0,0,0
carbonZ_2018-09-11-17-27-13_1_rudder_zero__left_aileron_failure,Aileron_Stuck,1.0,1.0,1.0,160,0,0,0
carbonZ_2018-09-11-17-27-13_2_both_ailerons_failure,Aileron_Stuck,1.0,1.0,1.0,113,0,0,0
carbonZ_2018-09-11-17-55-30_1_right_aileron_failure,Aileron_Stuck,1.0,1.0,1.0,160,0,0,0
carbonZ_2018-09-11-17-55-30_2_left_aileron_failure,Aileron_Stuck,1.0,1.0,1.0,74,0,0,0
carbonZ_2018-10-05-14-34-20_2_right_aileron_failure_with_emr_traj,Aileron_Stuck,1.0,1.0,1.0,187,0,0,0
carbonZ_2018-10-05-14-37-22_2_right_aileron_failure,Aileron_Stuck,1.0,1.0,1.0,168,0,0,0
carbonZ_2018-10-05-14-37-22_3_left_aileron_failure,Aileron_Stuck,1.0,1.0,1.0,117,0,0,0
carbonZ_2018-09-11-15-06-34_1_rudder_right_failure,Rudder_Stuck,1.0,1.0,1.0,80,0,0,0
carbonZ_2018-09-11-15-06-34_2_rudder_right_failure,Rudder_Stuck,1.0,1.0,1.0,76,0,0,0
carbonZ_2018-09-11-15-06-34_3_rudder_left_failure,Rudder_Stuck,1.0,1.0,1.0,86,0,0,0
