timestamp,thrust,z,torque_x,torque_y,torque_z,roll,pitch,yaw,p,q,r,vx,vy,vz,mass,inertia_xx,inertia_yy,inertia_zz,trajectory_id
0.0,1.3470707300687943,0.0,0.0177263150292325,-0.0086602827536505,0.0086531953216689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.01,1.3036150932312012,-0.040641900151968,-0.005880347918719053,0.0005836457712575793,0.0018371189944446087,0.0004391195543576032,-0.00020439273794181645,0.00020661178859882057,0.23567810654640198,-0.09380665421485901,0.06399711966514587,0.0,0.0,0.21753738820552826,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.02,1.371882677078247,-0.04202854260802269,0.0027384329587221146,-5.970085840090178e-05,0.0004534251638688147,-0.0007860389887355268,0.0007363026379607618,-0.0003385918971616775,0.14403145015239716,-0.08693794906139374,0.08207529783248901,0.0,0.0,0.36569714546203613,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.03,1.4153612852096558,0.35443103313446045,-0.0012630762066692114,1.592866647115443e-05,0.0001380660687573254,-0.001031133346259594,0.0002535124949645251,-0.001620814437046647,0.1919841468334198,-0.08780872076749802,0.0859808400273323,0.0,0.0,0.08040951937437057,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.04,1.3017159700393677,-1.4038478136062622,0.0005788105190731585,-1.5687830455135554e-05,4.980158701073378e-05,0.0021791430190205574,-0.0036010006442666054,0.00018550429376773536,0.1675209254026413,-0.08518240600824356,0.08428540825843811,0.0,0.0,-0.3774954080581665,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.05,1.3700469732284546,-0.8304587602615356,-0.00027663406217470765,-4.998055374016985e-06,2.1710980945499614e-05,0.002185833640396595,0.00014081501285545528,0.001170858507975936,0.17457254230976105,-0.08734043687582016,0.08624709397554398,0.0,0.0,0.03379319980740547,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.06,1.310723066329956,0.035711172968149185,0.00010975442273775116,-8.772493856668007e-06,1.4203385035216343e-05,0.0009023668826557696,-0.0011475766077637672,7.64203432481736e-05,0.17176733911037445,-0.08615519106388092,0.0865023285150528,0.0,0.0,-0.016504298895597458,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.07,1.3305742740631104,-0.08485328406095505,-2.787854100461118e-05,-7.227257810882293e-06,1.0351493074267637e-05,0.004099023528397083,-0.0015148604288697243,0.001971252029761672,0.17046983540058136,-0.08557606488466263,0.08545277267694473,0.0,0.0,0.029550541192293167,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.08,1.3231145143508911,-0.0052357870154082775,2.3166267055785283e-05,-7.717591870459728e-06,1.0383389053458814e-05,0.005348351784050465,-0.002557390369474888,0.0025100482162088156,0.16867485642433167,-0.08454164862632751,0.08467521518468857,0.0,0.0,-0.09391868859529495,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.09,1.326595664024353,-0.04946434125304222,4.899321538687218e-06,-7.434397048200481e-06,9.838297046371736e-06,0.007125732488930225,-0.0033207470551133156,0.003439426189288497,0.1671755164861679,-0.08374881744384766,0.08386628329753876,0.0,0.0,-0.1812199503183365,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.1,1.325972080230713,-0.05191623792052269,1.1780698514485266e-05,-7.4496256274869666e-06,9.681276424089447e-06,0.008516249246895313,-0.004095838405191898,0.004125527571886778,0.16574573516845703,-0.0829678475856781,0.08315395563840866,0.0,0.0,-0.27871572971343994,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.11,1.3267238140106201,-0.06990157812833786,9.333004527434241e-06,-7.348930012085475e-06,9.467170457355678e-06,0.009904024191200733,-0.004794635809957981,0.004825621377676725,0.16442593932151794,-0.08226215094327927,0.08247880637645721,0.0,0.0,-0.3647729158401489,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.12,1.3268401622772217,-0.08049022406339645,1.0280941751261707e-05,-7.293579983524978e-06,9.325363862444647e-06,0.0111730070784688,-0.00545980129390955,0.005459002684801817,0.1631789356470108,-0.08159540593624115,0.08184869587421417,0.0,0.0,-0.4472517967224121,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.13,1.3270986080169678,-0.09268295019865036,9.924874575517606e-06,-7.221852683869656e-06,9.197194231091999e-06,0.012388301081955433,-0.006087028421461582,0.006066821049898863,0.1619972139596939,-0.08096852153539658,0.08125052601099014,0.0,0.0,-0.5243918895721436,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.14,1.3272265195846558,-0.10324680060148239,1.0025029041571543e-05,-7.157859727158211e-06,9.094813322008122e-06,0.013542038388550282,-0.006686137057840824,0.0066422331146895885,0.16086837649345398,-0.08037203550338745,0.08068089187145233,0.0,0.0,-0.59794020652771,0.068,6.86e-05,9.2e-05,0.0001366,0.0
